3.320 2 BARO_RAW 0. 0.
3.332 2 IMU_GYRO_RAW -28 20 -48
3.420 2 DL_VALUE 1 0.
3.422 2 IMU_GYRO_RAW -29 20 -47
3.518 2 IMU_GYRO_RAW -28 20 -47
3.618 2 IMU_GYRO_RAW -29 19 -48
3.718 2 IMU_GYRO_RAW -27 21 -48
3.748 2 DOWNLINK_STATUS 0 4 1034 62 0 253. 15. 0.
3.821 2 BARO_RAW 0. 0.
3.824 2 IMU_GYRO_RAW -28 21 -48
3.919 2 DL_VALUE 2 655.
3.923 2 IMU_GYRO_RAW -28 22 -47
4.018 2 IMU_GYRO_RAW -29 22 -47
4.118 2 IMU_GYRO_RAW -28 21 -47
4.217 2 IMU_GYRO_RAW -28 19 -47
4.320 2 BARO_RAW 0. 0.
4.323 2 IMU_GYRO_RAW -28 21 -48
4.419 2 DL_VALUE 3 0.
4.422 2 IMU_GYRO_RAW -28 20 -48
4.518 2 IMU_GYRO_RAW -28 20 -48
4.618 2 IMU_GYRO_RAW -30 19 -47
4.666 2 FBW_STATUS 0 50 0 163 2
4.718 2 IMU_GYRO_RAW -29 20 -49
4.749 2 DOWNLINK_STATUS 0 5 1279 77 0 245. 15. 0.
4.820 2 BARO_RAW 0. 0.
4.823 2 IMU_GYRO_RAW -29 19 -48
4.919 2 DL_VALUE 4 0.
4.922 2 IMU_GYRO_RAW -28 19 -47
5.018 2 IMU_GYRO_RAW -29 21 -48
5.124 2 ALIVE |88,46,127,254,191,243,157,14,79,175,117,217,7,24,53,158|
5.127 2 IMU_GYRO_RAW -27 21 -48
5.218 2 IMU_GYRO_RAW -27 21 -48
5.286 2 PONG 
5.321 2 BARO_RAW 0. 0.
5.323 2 IMU_GYRO_RAW -29 18 -47
5.419 2 DL_VALUE 5 0.
5.423 2 IMU_GYRO_RAW -30 20 -48
5.517 2 IMU_GYRO_RAW -28 22 -48
5.617 2 IMU_GYRO_RAW -28 21 -48
5.717 2 IMU_GYRO_RAW -29 18 -48
5.749 2 DOWNLINK_STATUS 0 6 1538 93 0 259. 16. 37.69
5.820 2 BARO_RAW 0. 0.
5.823 2 IMU_GYRO_RAW -27 22 -48
5.919 2 DL_VALUE 6 100.
5.922 2 IMU_GYRO_RAW -29 19 -48
6.018 2 IMU_GYRO_RAW -28 21 -47
6.118 2 IMU_GYRO_RAW -30 19 -48
6.218 2 IMU_GYRO_RAW -27 23 -48
6.320 2 BARO_RAW 0. 0.
6.323 2 IMU_GYRO_RAW -30 20 -47
6.419 2 DL_VALUE 7 0.
6.422 2 IMU_GYRO_RAW -28 21 -47
6.518 2 IMU_GYRO_RAW -29 19 -47
6.618 2 IMU_GYRO_RAW -28 20 -48
6.667 2 FBW_STATUS 0 48 0 163 2
6.718 2 IMU_GYRO_RAW -29 19 -48
6.749 2 DOWNLINK_STATUS 0 7 1783 108 0 245. 15. 37.69
6.821 2 BARO_RAW 0. 0.
6.824 2 IMU_GYRO_RAW -29 21 -48
6.920 2 DL_VALUE 8 0.
6.922 2 IMU_GYRO_RAW -28 19 -48
7.017 2 IMU_GYRO_RAW -28 19 -47
