1.137 1 WIND_INFO 1 42 0. 0. 0.
5.785 1 IMU_MAG_RAW 341 431 -375
5.788 1 IMU_ACCEL_RAW 94 -2047 58
5.791 1 IMU_GYRO_RAW -46 10 -8
5.794 1 IMU_MAG_RAW 322 427 -364
5.796 1 DL_VALUE 0 3.
5.800 1 IMU_ACCEL_RAW 103 -2056 3
5.803 1 IMU_GYRO_RAW -48 11 -9
5.812 1 IMU_GYRO_RAW -46 10 -8
5.815 1 IMU_MAG_RAW 317 423 -299
5.817 1 DL_VALUE 1 0.
5.820 1 IMU_ACCEL_RAW 105 -2054 25
5.823 1 IMU_GYRO_RAW -44 9 -8
5.826 1 IMU_MAG_RAW 323 423 -373
6.074 1 NAVIGATION 0 2 -194263.5 -4813595. 0. 2.32084345979e+13 0 0
6.076 1 IMU_ACCEL_RAW 101 -2054 31
6.079 1 IMU_GYRO_RAW -44 8 -7
6.082 1 IMU_MAG_RAW 331 431 -389
6.085 1 BARO_RAW 0. 0.
6.088 1 IMU_ACCEL_RAW 102 -2050 34
6.091 1 IMU_GYRO_RAW -46 10 -8
6.098 1 IMU_GYRO_RAW -45 8 -7
6.102 1 IMU_MAG_RAW 318 424 -297
6.105 1 IMU_ACCEL_RAW 97 -2056 26
6.108 1 IMU_GYRO_RAW -45 8 -8
6.111 1 IMU_MAG_RAW 322 426 -374
6.114 1 IMU_ACCEL_RAW 99 -2055 34
6.321 1 DOWNLINK_STATUS 0 38 17686 879 30 697. 39. -10863.75
6.361 1 IMU_GYRO_RAW -45 8 -7
6.364 1 IMU_MAG_RAW 327 424 -371
6.367 1 IMU_ACCEL_RAW 102 -2054 38
6.370 1 IMU_GYRO_RAW -45 10 -7
6.374 1 IMU_MAG_RAW 321 424 -376
6.376 1 FBW_STATUS 0 91 0 68 0
6.384 1 IMU_ACCEL_RAW 100 -2055 26
6.387 1 IMU_GYRO_RAW -45 10 -7
6.390 1 IMU_MAG_RAW 321 424 -368
6.393 1 IMU_ACCEL_RAW 98 -2064 56
6.397 1 IMU_GYRO_RAW -39 17 -8
6.400 1 IMU_MAG_RAW 323 423 -363
6.402 1 DL_VALUE 3 0.
6.647 1 IMU_ACCEL_RAW 107 -2049 69
6.650 1 IMU_GYRO_RAW -25 34 1
6.653 1 IMU_MAG_RAW 332 429 -359
6.658 1 NAVIGATION 0 2 -194263.5 -4813595. 0. 2.32084345979e+13 0 0
6.661 1 IMU_ACCEL_RAW 81 -2042 40
6.664 1 IMU_GYRO_RAW -51 17 0
6.667 1 IMU_MAG_RAW 322 423 -370
6.943 1 ALIVE 0,140,247,21,200,69,224,159,186,40,112,14,148,154,242,249
6.947 1 NAVIGATION 0 2 -194263.5 -4813595. 0. 2.32084345979e+13 0 0
6.950 1 IMU_ACCEL_RAW 56 -2006 -65
6.954 1 IMU_GYRO_RAW 27 10 -70
6.961 1 IMU_GYRO_RAW -26 38 -55
6.965 1 IMU_MAG_RAW 319 422 -290
6.966 1 DL_VALUE 4 0.
6.970 1 IMU_ACCEL_RAW 167 -2126 -9
6.973 1 IMU_GYRO_RAW -56 27 -30
6.976 1 IMU_MAG_RAW 322 424 -366
7.224 1 NAVIGATION 0 2 -194263.5 -4813595. 0. 2.32084345979e+13 0 0
7.227 1 IMU_ACCEL_RAW 94 -2057 9
7.230 1 IMU_GYRO_RAW -50 -7 47
7.233 1 IMU_MAG_RAW 321 425 -370
7.235 1 BARO_RAW 0. 0.
7.238 1 IMU_ACCEL_RAW 53 -2010 39
7.242 1 IMU_GYRO_RAW -40 -4 23
7.249 1 IMU_GYRO_RAW -6 0 -78
7.252 1 IMU_MAG_RAW 318 422 -287
7.257 1 NAVIGATION 0 2 -194263.5 -4813595. 0. 2.32084345979e+13 0 0
7.260 1 IMU_ACCEL_RAW 127 -2074 37
7.263 1 IMU_GYRO_RAW -33 39 -112
7.321 1 DOWNLINK_STATUS 0 39 18458 921 34 772. 42. -10863.75
7.509 1 IMU_MAG_RAW 331 427 -367
7.512 1 IMU_ACCEL_RAW 121 -2039 -7
7.515 1 IMU_GYRO_RAW -56 19 -54
7.518 1 IMU_MAG_RAW 314 423 -359
7.521 1 COMMANDS 54,252,196,0,-280
7.524 1 IMU_ACCEL_RAW 163 -2102 52
7.528 1 IMU_GYRO_RAW 10 -24 17
7.538 1 IMU_ACCEL_RAW 121 -2087 39
7.541 1 IMU_GYRO_RAW -74 0 6
7.544 1 IMU_MAG_RAW 317 423 -376
7.547 1 BARO_RAW 0. 0.
7.550 1 IMU_ACCEL_RAW 89 -2165 -12
7.796 1 IMU_GYRO_RAW -20 8 9
7.800 1 IMU_MAG_RAW 321 423 -373
7.803 1 IMU_ACCEL_RAW 165 -2088 72
7.806 1 IMU_GYRO_RAW 4 17 47
7.809 1 IMU_MAG_RAW 321 425 -373
7.812 1 IMU_ACCEL_RAW 147 -2130 -34
7.815 1 IMU_GYRO_RAW -42 2 45
7.824 1 IMU_GYRO_RAW -79 -53 71
7.828 1 IMU_MAG_RAW 308 432 -387
7.831 1 IMU_ACCEL_RAW 55 -2235 126
7.834 1 IMU_GYRO_RAW -59 -52 119
7.837 1 IMU_MAG_RAW 311 429 -380
7.840 1 IMU_ACCEL_RAW 28 -2220 85
8.086 1 IMU_GYRO_RAW -67 -39 113
8.089 1 IMU_MAG_RAW 324 435 -388
8.092 1 FBW_STATUS 0 91 0 68 0
8.096 1 NAVIGATION 0 2 -194263.5 -4813595. 0. 2.32084345979e+13 0 0
8.099 1 IMU_ACCEL_RAW 45 -2235 103
8.103 1 IMU_GYRO_RAW -48 -3 88
8.112 1 IMU_GYRO_RAW -152 159 111
8.115 1 IMU_MAG_RAW 296 419 -310
8.118 1 IMU_ACCEL_RAW -103 -1858 -53
8.121 1 IMU_GYRO_RAW -127 165 113
8.124 1 IMU_MAG_RAW 297 416 -368
8.322 1 DOWNLINK_STATUS 0 40 19106 957 37 648. 36. -10863.75
8.372 1 ALIVE 0,140,247,21,200,69,224,159,186,40,112,14,148,154,242,249
8.375 1 IMU_ACCEL_RAW 19 -1884 43
8.378 1 IMU_GYRO_RAW -150 151 150
